지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
904,사상,2023-03-11 13:00,19.3,199.3,5.2,0,45
904,사상,2023-03-11 14:00,20,192.3,5.1,0,47
904,사상,2023-03-11 15:00,19.5,197.5,5.3,0,58
904,사상,2023-03-11 16:00,18.7,199.4,5.6,0,64
904,사상,2023-03-11 17:00,18.8,197.1,4.2,0,58
904,사상,2023-03-11 18:00,16.9,189.5,3.4,0,70
904,사상,2023-03-11 19:00,15.8,195.8,2.1,0,75
904,사상,2023-03-11 20:00,15.1,204.4,2.2,0,73
904,사상,2023-03-11 21:00,14.3,204.4,1.4,0,79
904,사상,2023-03-11 22:00,13.1,190.8,1.4,0,92
904,사상,2023-03-11 23:00,12.2,205,2.4,0,97
904,사상,2023-03-12 00:00,11.9,182.1,2.2,0,97
904,사상,2023-03-12 01:00,12.9,188.6,2.4,0,95
904,사상,2023-03-12 02:00,13.5,174.4,2,0,94
904,사상,2023-03-12 03:00,14.1,170.5,2.2,0,92
904,사상,2023-03-12 04:00,13.1,185.3,2,0,97
904,사상,2023-03-12 05:00,13.2,0,.4,0,96
904,사상,2023-03-12 06:00,13.4,0,.3,0,96
904,사상,2023-03-12 07:00,13,175.5,1,0,98
904,사상,2023-03-12 08:00,14.1,191.6,2.6,0,94
904,사상,2023-03-12 09:00,15.1,235.9,1.4,0,90
904,사상,2023-03-12 10:00,16.2,209.6,3.6,0,87
904,사상,2023-03-12 11:00,16.4,206.2,5.5,0,88
904,사상,2023-03-12 12:00,16.8,198.1,8,0,86
904,사상,2023-03-12 13:00,17.5,201.2,8.4,0,75
904,사상,2023-03-12 14:00,15.9,204.7,6.4,0,90
904,사상,2023-03-12 15:00,15.4,218.8,2.7,4.5,88
904,사상,2023-03-12 16:00,10.9,309.9,6.1,2,87
904,사상,2023-03-12 17:00,9.5,302.8,4.6,2,85
904,사상,2023-03-12 18:00,9,323.4,2.9,0,85
904,사상,2023-03-12 19:00,9.3,293.2,2.3,0,85
904,사상,2023-03-12 20:00,8.9,319,3.6,0,66
904,사상,2023-03-12 21:00,7.5,313.9,4.5,0,58
904,사상,2023-03-12 22:00,6.6,292.9,4.9,0,58
904,사상,2023-03-12 23:00,4.8,307.8,5.8,0,48
904,사상,2023-03-13 00:00,3.3,302.7,6.9,0,49
904,사상,2023-03-13 01:00,2.7,304,5.5,0,50
904,사상,2023-03-13 02:00,2.3,312.6,5.4,0,47
904,사상,2023-03-13 03:00,1.7,319.3,4.5,0,46
904,사상,2023-03-13 04:00,1,320.6,3.1,0,49
904,사상,2023-03-13 05:00,.2,327.1,2.1,0,52
904,사상,2023-03-13 06:00,.2,351.1,.7,0,47
904,사상,2023-03-13 07:00,.2,331,1.3,0,46
904,사상,2023-03-13 08:00,1.5,318.3,3,0,39
904,사상,2023-03-13 09:00,2.7,311.6,3.8,0,33
904,사상,2023-03-13 10:00,3.8,299.4,4.7,0,29
904,사상,2023-03-13 11:00,5.5,292.9,3.6,0,29
904,사상,2023-03-13 12:00,7.1,307.9,4.4,0,27
904,사상,2023-03-13 13:00,8.7,296.6,4,0,24
904,사상,2023-03-13 14:00,9.6,299.9,4.2,0,23
904,사상,2023-03-13 15:00,10.4,296.2,3.8,0,22
904,사상,2023-03-13 16:00,10.8,300.9,3.4,0,21
904,사상,2023-03-13 17:00,10.9,316.2,2.3,0,19
904,사상,2023-03-13 18:00,8.1,201,6.2,0,48
904,사상,2023-03-13 19:00,7.7,197.4,3.5,0,47
904,사상,2023-03-13 20:00,7.6,196.7,4.4,0,51
904,사상,2023-03-13 21:00,6.4,217.5,3.1,0,55
904,사상,2023-03-13 22:00,6.2,205.4,1.7,0,58
